,value,metric,type
351,0.6095507276285117,fde,ml
352,4.478125169456051,fde,ml
353,3.654996278453324,fde,ml
354,1.776701984773167,fde,ml
355,1.5316774942235427,fde,ml
356,1.563226441397108,fde,ml
357,2.375671293002776,fde,ml
358,9.37778929720823,fde,ml
359,0.8736865468581697,fde,ml
360,2.8502484078983183,fde,ml
361,2.94063276559627,fde,ml
362,10.32985142324643,fde,ml
363,2.2503249010525606,fde,ml
364,2.863255507004866,fde,ml
365,3.1405311024857703,fde,ml
366,6.272956512270788,fde,ml
367,3.333540402960354,fde,ml
368,2.1703645990721823,fde,ml
369,3.3280012887843338,fde,ml
370,4.416917546037794,fde,ml
371,4.240983469639956,fde,ml
372,5.368527187506695,fde,ml
373,1.3699680130314353,fde,ml
374,2.670113399496336,fde,ml
375,1.0235418358998352,fde,ml
376,4.794739386131645,fde,ml
377,2.2764719322827194,fde,ml
378,3.8521138218837065,fde,ml
379,1.9001152379555344,fde,ml
380,3.1106383095692727,fde,ml
381,1.4846739000263018,fde,ml
382,7.234854414574229,fde,ml
383,0.9157683823201251,fde,ml
384,1.4264308869656166,fde,ml
385,1.0890949779052868,fde,ml
386,8.47904190808183,fde,ml
387,0.7084329038786153,fde,ml
388,1.0624119841284227,fde,ml
389,1.8297384124117186,fde,ml
390,3.2042750436658873,fde,ml
391,0.6262863458510438,fde,ml
392,0.6131948872247529,fde,ml
393,2.8137134607789087,fde,ml
394,2.251370250435839,fde,ml
395,0.8831753222330775,fde,ml
396,1.2051804670580362,fde,ml
397,3.0810488855957328,fde,ml
398,2.0017972792761562,fde,ml
399,2.3005851851721504,fde,ml
400,0.952546537154378,fde,ml
401,1.8046950381556603,fde,ml
402,3.367206917043663,fde,ml
403,1.4365267935910502,fde,ml
404,1.2068880065793703,fde,ml
405,0.9687018327124336,fde,ml
406,1.6908133452596592,fde,ml
407,1.6698695512880644,fde,ml
408,0.0533828995592231,fde,ml
409,0.8167029882616933,fde,ml
410,4.641240919726663,fde,ml
411,2.6744018252153605,fde,ml
412,0.36747784455749116,fde,ml
413,4.932121455159302,fde,ml
414,2.742912698803987,fde,ml
415,0.31455027161218935,fde,ml
416,4.9060725397860585,fde,ml
417,1.9471837885498313,fde,ml
418,0.31090093498627724,fde,ml
419,5.702882677799232,fde,ml
420,3.348316739672216,fde,ml
421,0.07629056538731283,fde,ml
422,3.4703164104621695,fde,ml
423,5.982984559529701,fde,ml
424,0.09056846435437685,fde,ml
425,2.575631053298943,fde,ml
426,6.491159183753767,fde,ml
427,0.18529364338949664,fde,ml
428,3.7091780064815705,fde,ml
429,5.185682927053223,fde,ml
430,0.12466738357418641,fde,ml
431,4.523636046763483,fde,ml
432,3.3657783488603323,fde,ml
433,0.13364862145361803,fde,ml
434,3.1865150140695815,fde,ml
435,0.08922218524897549,fde,ml
436,3.4543208028039416,fde,ml
437,0.0728965646580747,fde,ml
438,3.006626944225839,fde,ml
439,0.08241844716719575,fde,ml
440,2.4317142639653233,fde,ml
441,0.07914549678559742,fde,ml
442,2.1213279944416157,fde,ml
443,0.08711934999186215,fde,ml
444,1.4544917645500104,fde,ml
445,0.056691173417263964,fde,ml
446,1.0949145464167556,fde,ml
447,0.06195509579700206,fde,ml
448,1.1119338635540321,fde,ml
449,0.06592923961768744,fde,ml
450,3.329655915001018,fde,ml
451,0.058553928024558624,fde,ml
452,2.5746231379391555,fde,ml
453,0.07377125141172083,fde,ml
454,0.3813775638642556,fde,ml
455,0.06706869552437253,fde,ml
456,0.7331252008243799,fde,ml
457,0.04659078428532562,fde,ml
458,0.6052795173054488,fde,ml
459,0.02691100763415238,fde,ml
460,1.7760793645169133,fde,ml
461,0.03831717430562574,fde,ml
462,1.0976084664585066,fde,ml
463,0.06506118992039749,fde,ml
464,0.7549999403829284,fde,ml
465,0.09914931819721957,fde,ml
466,0.06754020382764211,fde,ml
467,0.8127105753964812,fde,ml
468,0.15925782023366217,fde,ml
469,0.22293930619238808,fde,ml
470,0.9999239764173179,fde,ml
471,0.21178112622683842,fde,ml
472,0.12182677011799002,fde,ml
473,1.4245228385944309,fde,ml
474,0.20387724452665515,fde,ml
475,0.11894917322262566,fde,ml
476,1.0249141186645676,fde,ml
477,0.20971368903293477,fde,ml
478,0.20495872739905102,fde,ml
479,0.9265206553000468,fde,ml
480,0.24209546710060564,fde,ml
481,0.10791901781209305,fde,ml
482,1.19151452955604,fde,ml
483,0.2719632630583065,fde,ml
484,0.10884105678828414,fde,ml
485,0.6068125166702707,fde,ml
486,1.2028446863949684,fde,ml
487,3.7349763184561526,fde,ml
488,5.313100772866444,fde,ml
489,2.003086420693067,fde,ml
490,2.398281717983223,fde,ml
491,2.835940783116348,fde,ml
492,1.9778518665117866,fde,ml
493,4.507254916102097,fde,ml
494,2.85411398728927,fde,ml
495,6.020584706658531,fde,ml
496,3.6564687243526968,fde,ml
497,3.394897629246289,fde,ml
498,0.07765876917484416,fde,ml
499,5.0637869067025525,fde,ml
500,3.5150165336330144,fde,ml
501,0.07450535112031792,fde,ml
502,3.714080752892892,fde,ml
503,4.545497770808361,fde,ml
504,0.07791541371530078,fde,ml
505,4.507883176041355,fde,ml
506,0.07252425665757488,fde,ml
507,2.5159235302283083,fde,ml
508,3.464841562482111,fde,ml
509,0.07977785059478208,fde,ml
510,9.597951664188088,fde,ml
511,0.07285016695746382,fde,ml
512,2.1085567806347827,fde,ml
513,2.777878387700447,fde,ml
514,2.8621126054990307,fde,ml
515,0.08088620813757787,fde,ml
516,3.6182659440117266,fde,ml
517,0.07221859425400534,fde,ml
518,1.1368874765107906,fde,ml
519,0.06545180606988214,fde,ml
520,3.9751050588389303,fde,ml
521,1.090547338174649,fde,ml
522,0.0792261747233663,fde,ml
523,2.384169054982763,fde,ml
524,0.0705241014422586,fde,ml
525,1.3382428706934988,fde,ml
526,0.07380500134891126,fde,ml
527,3.6505703182444145,fde,ml
528,0.06146995084985944,fde,ml
529,0.07875180009607761,fde,ml
530,1.472541417027149,fde,ml
531,0.0700742869737302,fde,ml
532,2.124420707413536,fde,ml
533,0.07387533192083245,fde,ml
534,2.3817219865576242,fde,ml
535,0.12767248546498514,fde,ml
536,0.0771258420203584,fde,ml
537,0.6551616619685727,fde,ml
538,0.07001057432788234,fde,ml
539,2.8223627520066175,fde,ml
540,0.07396153196254766,fde,ml
541,0.06269858993074702,fde,ml
542,2.677965637200468,fde,ml
543,0.1616016140916327,fde,ml
544,0.07538846798164808,fde,ml
545,1.7772201585479919,fde,ml
546,0.06999760207801911,fde,ml
547,0.053784327532315206,fde,ml
548,0.07332316005049797,fde,ml
549,0.06754331584933046,fde,ml
550,2.5072588884443774,fde,ml
551,0.12395100746499163,fde,ml
552,0.07403670419772579,fde,ml
553,2.554589979676921,fde,ml
554,0.06904918366425106,fde,ml
555,0.305780959430781,fde,ml
556,0.07153388395417057,fde,ml
557,0.06909462809066673,fde,ml
558,1.588187181271221,fde,ml
559,0.1405105543130544,fde,ml
560,0.0737915698000495,fde,ml
561,4.490844917999545,fde,ml
562,0.06950248334416727,fde,ml
563,0.04246482583437225,fde,ml
564,0.07155269587667307,fde,ml
565,0.06877796265162141,fde,ml
566,1.9135883325149048,fde,ml
567,0.1332045751771608,fde,ml
568,0.07356399623746356,fde,ml
569,5.881049012122161,fde,ml
570,0.06892145392029227,fde,ml
571,0.08776920252495689,fde,ml
572,0.06825185141999349,fde,ml
573,0.06893872192397393,fde,ml
574,2.343438950348288,fde,ml
575,0.10438996912901992,fde,ml
576,0.07364411119352468,fde,ml
577,7.147254884802948,fde,ml
578,0.06943935842094726,fde,ml
579,0.15459612063618552,fde,ml
580,0.06972672437075493,fde,ml
581,0.06815529097037008,fde,ml
582,0.07321489347691917,fde,ml
583,2.0209337180043514,fde,ml
